school,school_attr,school_type,province
浙江海洋大学,省部共建高校 |卓越农林人才教育培养计划高校 |浙江省国际化特色高校|浙江省一流学科建设高校|浙江省重点建设高校[2] ,"农林
[7]",浙江
北京工商大学,未知,综合,北京
安徽医科大学,省部共建大学 |卓越医生教育培养计划 |国家“特色重点学科项目”建设高校 |安徽省属重点大学 |安徽省高等教育振兴计划 ,医药,安徽
天津理工大学,卓越工程师教育培养计划高校（2011）|高等学校学科创新引智计划（2017）|新工科研究与实践项目（2018）,理工,天津
天津理工大学,卓越工程师教育培养计划高校（2011）|高等学校学科创新引智计划（2017）|新工科研究与实践项目（2018）,理工,天津
武汉纺织大学,教育部“卓越工程师教育培养计划”重点建设高校（2011年）|中西部高校基础能力建设工程”重点建设高校（2012年）,理工,湖北
中国药科大学,世界一流学科建设高校|211工程、985平台|教育部直属高校|111计划|卓越工程师教育培养计划 ,医药类,江苏
河北大学,中西部高校综合实力提升工程|部省合作共建高校 |卓越工程师教育培养计划 |卓越法律人才教育培养计划 |中西部高校基础能力建设工程,综合,河北
深圳大学,广东省高水平大学重点建设高校（2018）|深化创新创业教育改革示范高校,综合,广东
广州大学,中小学教师国家级培训计划|广州市高水平大学建设高校,综合,广东
江苏海洋大学,未知,理工,江苏
温州大学,未知,综合类,浙江
五邑大学,全日制普通本科院校|省市共建本科高校（2016年入选）|广东省高水平理工科大学建设高校（2017年入选）,综合,广东
长春工业大学,卓越工程师教育培养计划[4] |中西部高校基础能力建设工程(二期)[1] |新工科研究与实践项目[5] |吉林省特色高水平应用研究型大学建设项目[6] ,理工,吉林
华北理工大学,未知,综合,河北
宝鸡文理学院,省“国内一流学科建设高校”（2018年）,综合,陕西
宝鸡文理学院,省“国内一流学科建设高校”（2018年）,综合,陕西
宝鸡文理学院,省“国内一流学科建设高校”（2018年）,综合,陕西
东北林业大学,双一流（世界一流学科建设高校）（2017年入选）|全国重点大学|省部共建高校|211工程（2005年入选）|985工程优势学科创新平台（2011年入选）,林业类,黑龙江
南京林业大学,省部共建大学（2000年） |省属重点大学 |卓越农林人才教育培养计划（2014年） |特色重点学科项目（2010年） |世界一流学科建设高校（2017年）,农林,江苏
上海师范大学,上海市教育综合改革部市共同支持高校 |教育部卓越教师培养计划实施院校|中国政府奖学金来华留学生接收院校 |高等学校学科创新引智计划（111计划）|上海市重点建设大学,师范（综合）,上海
江西科技师范大学,未知,师范类院校,江西
重庆科技学院,省部共建高校[7] |卓越工程师教育培养计划（2011年）[8] |全国应用技术大学（学院）联盟副理事长单位|数据中国“百校工程”,"理工
[6]",重庆
武汉轻工大学,国家粮食和物资储备局与湖北省人民政府共建高校（2018）|湖北省国内一流学科建设高校（2018）|第一批卓越农林人才教育培养计划（2014）,理工,湖北
南京邮电大学,双一流（世界一流学科建设高校）[7] |2011计划|111计划[8] |卓越工程师教育培养计划|江苏高水平大学建设高校[2] ,综合,江苏
浙江理工大学,省属重点建设大学 |卓越工程师教育培养计划|新工科研究与实践项目,理工类,浙江
重庆科技学院,省部共建高校[7] |卓越工程师教育培养计划（2011年）[8] |全国应用技术大学（学院）联盟副理事长单位|数据中国“百校工程”,"理工
[6]",重庆
南宁师范大学,未知,师范类,广西
沈阳体育学院,全日制普通高等学校|省部共建高校|辽宁省一流大学重点建设高校,体育,辽宁
温州大学,未知,综合类,浙江
天津科技大学,卓越工程师教育培养计划（2011年）|省属重点大学|特色重点学科项目（2012年）|新工科研究与实践项目（2018年）,理工,天津
大连交通大学,未知,理工,辽宁
五邑大学,全日制普通本科院校|省市共建本科高校（2016年入选）|广东省高水平理工科大学建设高校（2017年入选）,综合,广东
江苏大学,全国重点大学|省属重点大学|卓越工程师教育培养计划|省部共建大学[3] |卓越工程师教育培养计划2.0,综合、研究教学型大学,江苏
东北石油大学,全国重点大学（1978年）|省部共建大学（2010年）|卓越工程师教育培养计划实施高校（2011年）|国家大学生创新性实验计划实施高校 （2008年）|特色重点学科项目建设高校（2010年）,理工类,黑龙江
东北石油大学,全国重点大学（1978年）|省部共建大学（2010年）|卓越工程师教育培养计划实施高校（2011年）|国家大学生创新性实验计划实施高校 （2008年）|特色重点学科项目建设高校（2010年）,理工类,黑龙江
东北石油大学,全国重点大学（1978年）|省部共建大学（2010年）|卓越工程师教育培养计划实施高校（2011年）|国家大学生创新性实验计划实施高校 （2008年）|特色重点学科项目建设高校（2010年）,理工类,黑龙江
安徽大学,211工程|省部共建高校|“双一流”世界一流学科建设高校|卓越法律人才教育培养计划 |中国政府奖学金来华留学生接收院校,综合,安徽
河南工业大学,省部共建高校（2010年）[1] |2011计划（2013年）|中西部高校基础能力建设工程（2012年）|卓越工程师教育培养计划（2011年）|卓越农林人才教育培养计划（2014年）,理工,河南
长沙理工大学,中西部高校基础能力建设工程（2012年入选）|省属重点大学  |省部共建大学|卓越工程师教育培养计划 |湖南省“双一流”A类建设高校（2018年入选）[1] ,理工类,湖南
哈尔滨商业大学,省属重点本科高校|中西部高校基础能力建设工程,财经,黑龙江
重庆大学,985工程（1999年）|211工程（1996年）|世界一流大学建设高校（A类）（2017年）|全国重点大学（1960年）|教育部、重庆市共建高校（2001年）[4] ,综合,重庆
南昌大学,世界一流学科建设高校（2017年）|211工程（1997年）|教育部、江西省人民政府省部共建高校（2004年）|教育部、江西省人民政府部省合建高校（2018年）|教育部卓越工程师教育培养计划高校（2010年） ,综合,江西
温州医科大学,卓越医生教育培养计划（2012年11月） |111计划（2016年9月） |省部共建高校（国家卫生健康委员会、教育部和浙江省人民政府共建）,医药类,浙江
长江大学,省属重点本科高校|省部共建高校（2012年）|中西部高校基础能力建设工程（2012年）|卓越工程师教育培养计划（2012年）|卓越农林人才教育培养计划（2014年）,综合类,湖北
